TF_name	TU_name	effect	evidence	confidence
CRP	aaeXAB[aaeXp]	+	[AIFS, APPH, GEA, IMP, ICWHO, AIBSCS, APIORCISFBSCS, GEA]	STRONG
CRP	aceBAK[aceBp]	-	[AIFS, APPH, GEA, IMP, PM, AIBSCS, GEA]	STRONG
CRP	acnA[acnAp2]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA]	STRONG
CRP	acnB[acnBp]	+	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA]	STRONG
CRP	acs-yjcHG[acsp2]	+	[AIFS, APPH, GEA, IMP, LTED, AIBSCS, BPP, GEA, SM]	STRONG
CRP	acs-yjcHG[acsp]	+	[AIFS, APPH, GEA, IMP, LTED, AIBSCS, BPP, GEA, SM]	STRONG
CRP	aer[aerp]	+	[AIFS, APPH, GEA, IMP, AISGDTU, AIBSCS, BCE, BPP, GEA, SM]	STRONG
CRP	agp[agpp]	+	[AIFS, APPH, GEA, IMP, BTEI, AIBSCS, GEA]	STRONG
CRP	aldA[aldAp]	+	[AIFS, APPH, GEA, IMP, LTED, BCE, GEA]	STRONG
CRP	aldB[aldBp]	+	[AIFS, APPH, GEA, IMP, IEP, ITCR, AIBSCS, BPP]	STRONG
CRP	ampDE[ampD]	-	[APIORCISFBSCS, GEA, AIFS, APPH, GEA, IMP, AIBSCS, GEA]	STRONG
CRP	ansB[ansBp2]	+	[AIFS, APPH, GEA, IMP, BTEI, BCE, SM]	STRONG
CRP	araBAD[araBp]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	araC[araCp]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	araE[araEp]	+	[AIFS, APPH, GEA, IMP, LTED, AIBSCS, BPP]	STRONG
CRP	araE-ygeA[araEp]	+	[AIFS, APPH, GEA, IMP, LTED, AIBSCS, BPP]	STRONG
CRP	araFGH[araFp]	+	[AIFS, APPH, GEA, IMP, ITCR, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	araFGH[araFp3]	+	[AIFS, APPH, GEA, IMP, ITCR, APIORCISFBSCS, BPP, GEA, SM]	STRONG
CRP	araJ[araJp]	+	[AIFS, APPH, GEA, IMP, APIORCISFBSCS, BPP]	STRONG
CRP	argG[argGp]	+	[AIFS, APPH, GEA, IMP, AISGDTU, BPP, GEA, SM]	STRONG
CRP	ascFB[ascFp]	+	[AIFS, APPH, GEA, IMP, BPP, ICWHO]	STRONG
CRP	aspA[aspAp]	+	[AIFS, APPH, GEA, IMP, BTEI, LTED, AIBSCS, APIORCISFBSCS, GEA]	STRONG
CRP	aspA-dcuA[aspAp]	+	[AIFS, APPH, GEA, IMP, LTED, AIBSCS, APIORCISFBSCS, GEA]	STRONG
CRP	azuC[azuCp]	-	[AIFS, APPH, GEA, IMP, LTED, APIORCISFBSCS, GEA]	STRONG
CRP	bglG[bglGp]	+	[AIFS, APPH, GEA, IMP, BTEI, AIBSCS, BPP, GEA, SM]	STRONG
CRP	bglG[bglGp2]	+	[AIBSCS, BPP, GEA, SM, AIFS, APPH, GEA, IMP, BTEI, AIBSCS, BPP, GEA, SM]	STRONG
CRP	bglGFB[bglGp]	+	[AIFS, APPH, GEA, IMP, BTEI, PM, AIBSCS, BPP, GEA, SM]	STRONG
CRP	btsT[yjiYp]	+	[AIFS, APPH, GEA, IMP, ICWHO, AIBSCS, GEA, SM]	STRONG
CRP	caiF[caiFp]	+	[AIFS, APPH, GEA, IMP, LTED, BCE, GEA]	STRONG
CRP	caiTABCDE[caiTp]	+	[AIFS, APPH, GEA, IMP, PAGTSBP, AIBSCS, APIORCISFBSCS, BCE, GEA]	STRONG
